txn_date,amount,desc_clean,ref_clean,rate_used,amount_vnd,flag_FX
2025-03-27,6500000,aof tuition fee quach thi rr,TXN-L1C32,—,6500000.0,False
2025-03-28,1800000,service fee training hoang van ee,SRV-RM8J5,—,1800000.0,False
2025-03-28,4500000,pending incoming tran van cc,PEND-EYZ7S,—,4500000.0,False
2025-03-28,5000000,aof tuition fee hoang gia e ref,TXN-TSEMC,—,5000000.0,False
2025-03-28,9000000,aof tuition fee hoang van ee online,TXN-IRODX,—,9000000.0,False
2025-03-29,7000000,aof tuition fee le van c,TXN-DP0LV,—,7000000.0,False
2025-03-30,5000000,aof tuition fee quach thi rr,TXN-5O7UU,—,5000000.0,False
2025-03-30,4500000,pending incoming mai tuan s,PEND-BKK4C,—,4500000.0,False
2025-03-30,5000000,aof tuition fee dang thi jj,TXN-HXTHV,—,5000000.0,False
2025-03-30,7000000,aof tuition fee vo thi ww ref,TXN-6WZS3,—,7000000.0,False
2025-03-31,7000000,aof tuition fee ngo van kk,TXN-GCX19,—,7000000.0,False
2025-03-31,-150000,bank fee monthly ref,FEE-479T,—,-150000.0,False
2025-03-31,9000000,aof tuition fee luu thi t batch,TXN-O4KH2,—,9000000.0,False
2025-03-31,10000000,aof tuition fee dang thu j,TXN-7IF2G,—,10000000.0,False
2025-03-31,10000000,aof tuition fee vu thi hh,TXN-A3KX7,—,10000000.0,False
